Schoolid,School_Name,medium,Latitude,Longitude,shift,low_class,High_class,Z_ID,Zone_Name,D_ID,District_name,SchManagement,SchCategory,typeOfSchool
1925334,Lajpat Nagar-RPVV,English,28.57690944,77.24075173,General,6,12,2225,Zone-25,22,South East,Government,Partibha Vikas Vidhyalya,Boys
1925335,LAJPAT NAGAR GOVT.(CO.ED)S.S.S,English,28.57624698,77.23999284,General,6,12,2225,Zone-25,22,South East,Government,Senior Secondary Schools,Girls
1925339,Madanpur Khadar Extn. J.J.Colony  GBSSS,English,28.53112637,77.31008305,Evening,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Girls
1925340,Madanpur Khadar Extn. J.J.Colony  GGSSS,English,28.53108193,77.30992432,Morning,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Girls
1925341,HARKESH NAGAR GGSSS,English,28.54411636,77.27647186,Morning,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Girls
1925342,HARKESH NAGAR GBSSS,English,28.54404749,77.2764403,Evening,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Girls
1925345,"Jasola Village, GGSSS",English,28.54557551,77.29617237,Morning,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Boys
1925349,Institute of Blind Andh Vidyalaya,English,28.56127335,77.24473078,Morning,6,8,2225,Zone-25,22,South East,Aided,Middle Schools,Girls
1925353,"Jasola Village, GBSSS",English,28.54554219,77.29612799,Evening,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Co-ed
1925356,Tekhand - GBSSS,English,28.5246832,77.28379541,Evening,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Boys
1925359,"Badarpur, Tajpur Pahari - GGSSS",English,28.496556,77.310234,Morning,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Boys
1925360,"Badarpur, Tajpur Pahari - GBSSS",English,28.496556,77.310234,Evening,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Boys
1925399,"Molar Band, No.3- GBSSS",English,28.494728,77.3279601,Evening,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Boys
1925400,"Molar Band, No.4- GGSSS",English,28.49506,77.32804,Morning,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Boys
1925401,"Molar Band, No.1- GGSSS",English,28.494316,77.330564,Morning,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Boys
